A.1	With Chat, you will have a teacher and coach to support you 24/7. Feel free to send messages and communicate in English whenever you have a few minutes. Your chat teacher will work with you to make sure you don't give up and to help you find your own way to fall in love with English.	With Chat, you will have a teacher and coach to support you 24/7. Feel free to send messages and communicate in English whenever you have a few minutes. Your chat teacher will work with you to make sure you don't give up and to help you find your own way to fall in love with English.
A.10	There are 370 chapters in the OKpanda curriculum.	There are 370 chapters in the OKpanda curriculum.
A.100	"You can cancel your subscription and then restart with the same account data anytime. 

However, if you cancel and do not restart before the next due date, your remaining tickets will expire."	You can cancel your subscription and then restart with the same account data anytime.   However, if you cancel and do not restart before the next due date, your remaining tickets will expire.
A.101	"Yes. Tickets expire at the end of your monthly billing period. To check your current tickets' expiration date just go to the Plans screen.

There are two exceptions. If your lesson got canceled through no fault of your own, the refunded tickets will roll over for one month. Also, students on certain premium plans (e.g. Platinum) have the option of purchasing premium tickets that will roll over for one extra month."	Yes. Tickets expire at the end of your monthly billing period. To check your current tickets' expiration date just go to the Plans screen.  There are two exceptions. If your lesson got canceled through no fault of your own, the refunded tickets will roll over for one month. Also, students on certain premium plans (e.g. Platinum) have the option of purchasing premium tickets that will roll over for one extra month.
A.102	One lesson costs between 10 and 150 tickets. 	One lesson costs between 10 and 150 tickets.
A.104	You can get tickets as part of a free trial or by signing up as a paid member.	You can get tickets as part of a free trial or by signing up as a paid member.
A.105	Just choose a time and a teacher, then tap book to book your lesson.	Just choose a time and a teacher, then tap book to book your lesson.
A.106	No. Each user can currenly only use their own tickets.	No. Each user can currenly only use their own tickets.
A.107	Teachers may have different ticket costs based on their skills and experience.	Teachers may have different ticket costs based on their skills and experience.
A.108	"In the event of technical problems such as a power outage or other conncetion problems that made taking a lesson impossible, your tickets will be refunded. Please contact us through Customer Support if you encounter a problem that has not been resolved<a href=""mailto:support@okpanda.com"">support@okpanda.com</a>"	"In the event of technical problems such as a power outage or other conncetion problems that made taking a lesson impossible, your tickets will be refunded. Please contact us through Customer Support if you encounter a problem that has not been resolved<a href=""mailto:support@okpanda.com"">support@okpanda.com</a>"
A.109	"Please double check your Internet connection or try resetting your device. If you have not received a call from the teacher 5 minutes into your lesson please contact Customer Support at <a href=""mailto:support@okpanda.com"">support@okpanda.com</a> ."	"Please double check your Internet connection or try resetting your device. If you have not received a call from the teacher 5 minutes into your lesson please contact Customer Support at <a href=""mailto:support@okpanda.com"">support@okpanda.com</a> ."
A.11	OKpanda is a school in your pocket. It gives you everything you need to achieve your English goals; digital materials, live English lessons, 24/7 chat and more.	OKpanda is a school in your pocket. It gives you everything you need to achieve your English goals; digital materials, live English lessons, 24/7 chat and more.
